filename,atom_count
qmof-df4f7aa.cif,169
qmof-d234b42.cif,60
qmof-0f35ae8.cif,67
qmof-2131538.cif,27
qmof-9fa77bd.cif,78
qmof-7972915.cif,106
qmof-c054f0b.cif,30
qmof-a2ebc30.cif,66
qmof-a45536d.cif,260
qmof-36dafb7.cif,104
qmof-2aaaa2a.cif,292
qmof-1009afb.cif,75
qmof-8185c91.cif,42
qmof-d1aa449.cif,264
qmof-44f590d.cif,132
qmof-d2eac4d.cif,50
qmof-3bf43db.cif,232
qmof-25d4e9e.cif,64
qmof-f6a19fa.cif,194
qmof-d9fa5cf.cif,81
qmof-9883029.cif,134
qmof-baf873c.cif,102
qmof-6d32b28.cif,50
qmof-0fa2a52.cif,54
qmof-a1859cf.cif,76
qmof-cdca546.cif,72
qmof-14b1175.cif,94
qmof-770da4b.cif,32
qmof-6c14b7d.cif,256
qmof-89be353.cif,102
qmof-291b6b8.cif,108
qmof-2cc1b33.cif,272
qmof-4048940.cif,94
qmof-7e13f90.cif,216
qmof-f91eaa7.cif,134
qmof-d5145e0.cif,44
qmof-ebfaa1f.cif,38
qmof-8912cf1.cif,112
qmof-112bc59.cif,114
qmof-2867c7b.cif,80
qmof-cedf3f2.cif,220
qmof-a40483e.cif,206
qmof-bec921f.cif,132
qmof-7503641.cif,96
qmof-db680f9.cif,180
qmof-9a33911.cif,260
qmof-4f4c03d.cif,48
qmof-235238b.cif,80
qmof-62e8561.cif,86
qmof-6bd80b9.cif,92
qmof-45780fc.cif,162
qmof-c4e84a2.cif,56
qmof-59b3ba5.cif,98
qmof-2bab714.cif,128
qmof-d0835c2.cif,90
qmof-88fcee5.cif,54
qmof-1985e04.cif,58
qmof-50f1fb4.cif,68
qmof-e6bee8a.cif,86
qmof-ddd0056.cif,66
qmof-eb99b49.cif,176
qmof-bc3f92f.cif,113
qmof-b697d31.cif,136
qmof-c0dbd72.cif,104
qmof-6241b50.cif,55
qmof-8b50aa7.cif,50
qmof-5904229.cif,66
qmof-fcf9e4e.cif,60
qmof-74b98ef.cif,336
qmof-ff37c01.cif,44
qmof-c027dc9.cif,200
qmof-a303867.cif,48
qmof-ffa8fbb.cif,66
qmof-b58e86f.cif,82
qmof-cd1c2f7.cif,68
qmof-02d74bc.cif,43
qmof-c95d01f.cif,76
qmof-9769ca0.cif,55
qmof-65f536b.cif,72
qmof-60450dd.cif,118
qmof-52dc6d7.cif,86
qmof-e2276ee.cif,74
qmof-ebe125b.cif,226
qmof-5689ec9.cif,44
qmof-e8b1a76.cif,94
qmof-ad34930.cif,84
qmof-815e12a.cif,84
qmof-97e3dd9.cif,73
qmof-600a106.cif,66
qmof-725cabf.cif,266
qmof-a5d83e7.cif,92
qmof-c998a82.cif,86
qmof-0c240a1.cif,96
qmof-b3a8a72.cif,88
qmof-a5b3a99.cif,98
qmof-277d806.cif,222
qmof-08f6834.cif,99
qmof-faede09.cif,122
qmof-dacbde8.cif,146
qmof-6fc5c1b.cif,38
qmof-48ecb3b.cif,53
qmof-b3a4056.cif,128
qmof-14d74fb.cif,38
qmof-b8a853e.cif,70
qmof-63e34f0.cif,80
qmof-1a13c5a.cif,186
qmof-038174d.cif,72
qmof-9d70000.cif,142
qmof-36e178b.cif,76
qmof-eefbba1.cif,45
qmof-39429bc.cif,46
qmof-2f11ba8.cif,156
qmof-65b3da9.cif,324
qmof-4f48bfd.cif,89
qmof-aad07bd.cif,74
qmof-a7453c3.cif,94
qmof-31ce794.cif,102
qmof-c49f101.cif,80
qmof-9d1bb2b.cif,134
qmof-6e5272e.cif,312
qmof-37e47d6.cif,84
qmof-2a278e1.cif,52
qmof-517abf2.cif,92
qmof-309cef3.cif,128
qmof-c6a4edf.cif,224
qmof-df074a0.cif,88
qmof-f18ed85.cif,78
qmof-b7ca690.cif,96
qmof-8438e2d.cif,414
qmof-d4f01fe.cif,28
qmof-aa48b68.cif,36
qmof-16dfff2.cif,102
qmof-4d5a835.cif,74
qmof-02c648a.cif,224
qmof-e5b7187.cif,112
qmof-9956c49.cif,132
qmof-3b6e003.cif,52
qmof-34b0c93.cif,86
qmof-81462ef.cif,79
qmof-7aca348.cif,192
qmof-005303e.cif,36
qmof-0c2c714.cif,66
qmof-480d9ca.cif,64
qmof-3d621ad.cif,98
qmof-45b64b9.cif,72
qmof-1dc08c3.cif,108
qmof-31c08d9.cif,140
qmof-e7249e1.cif,68
qmof-36d19a8.cif,104
qmof-362bef5.cif,56
qmof-5d9b2c8.cif,88
qmof-110e680.cif,62
qmof-91692c9.cif,156
qmof-034e9af.cif,102
qmof-bb48b07.cif,146
qmof-c5d05b0.cif,148
qmof-0192eb2.cif,204
qmof-6bd4e14.cif,82
qmof-63cb6eb.cif,49
qmof-b6cf5f9.cif,100
qmof-154e6f7.cif,192
qmof-4a5df1e.cif,126
qmof-dadb6c8.cif,100
qmof-4455e80.cif,148
qmof-b44d887.cif,148
qmof-5f3ad60.cif,108
qmof-b5945a6.cif,88
qmof-63c56ae.cif,59
qmof-d09b8b3.cif,332
qmof-bf4d30a.cif,250
qmof-64eca6f.cif,76
qmof-e8a6a82.cif,142
qmof-90a5ed0.cif,70
qmof-43ba689.cif,144
qmof-1492ba7.cif,90
qmof-e07b521.cif,52
qmof-16addb6.cif,46
qmof-ab8d090.cif,83
qmof-ade80fa.cif,77
qmof-714a907.cif,47
qmof-d80e631.cif,148
qmof-a6968c4.cif,166
qmof-28949da.cif,116
qmof-2a66ccf.cif,72
qmof-1f66d12.cif,52
qmof-1e0ce81.cif,96
qmof-185aa17.cif,88
qmof-784eb1d.cif,44
qmof-ccdbd1a.cif,156
qmof-961d8a7.cif,48
qmof-0e63894.cif,108
qmof-4754c30.cif,50
qmof-17d6cac.cif,58
qmof-1d20a91.cif,74
qmof-7e75e9d.cif,260
qmof-74c27d5.cif,78
qmof-4321050.cif,222
qmof-3ce4a78.cif,122
qmof-126585f.cif,68
qmof-d5c670c.cif,33
qmof-16300e8.cif,220
qmof-764dc05.cif,118
qmof-3314fe4.cif,42
qmof-ba54277.cif,272
qmof-4a4b090.cif,106
qmof-f287e67.cif,62
qmof-a5390e1.cif,153
qmof-3ffe183.cif,66
qmof-c4f3917.cif,88
qmof-86b8af1.cif,354
qmof-de13d28.cif,92
qmof-0993e19.cif,192
qmof-3bb58fe.cif,186
qmof-f980f2a.cif,57
qmof-fc2015a.cif,100
qmof-2e97340.cif,158
qmof-6c18b0c.cif,72
qmof-152c5b0.cif,92
qmof-24d3ed5.cif,42
qmof-abb90e8.cif,448
qmof-5741ef6.cif,158
qmof-15a075e.cif,62
qmof-b06e757.cif,89
qmof-c931987.cif,124
qmof-e474d06.cif,126
qmof-fd9262c.cif,312
qmof-65807e0.cif,30
qmof-7b4dbbf.cif,112
qmof-5d60ff1.cif,256
qmof-0bf1c5d.cif,74
qmof-4d4b101.cif,266
qmof-ab3cb93.cif,156
qmof-5a3945a.cif,192
qmof-5e78e03.cif,104
qmof-e0e4dbd.cif,150
qmof-89d52dd.cif,53
qmof-244cb4f.cif,116
qmof-4090ad3.cif,30
qmof-20119ca.cif,112
qmof-3454f05.cif,32
qmof-939017e.cif,54
qmof-94a67e3.cif,75
qmof-8a6175e.cif,144
qmof-9204b74.cif,214
qmof-e2db1dc.cif,63
qmof-096c27f.cif,88
qmof-e6e8ebf.cif,244
qmof-eb261b9.cif,89
qmof-90c218f.cif,80
qmof-99810c8.cif,100
qmof-da2b203.cif,104
qmof-2a5beeb.cif,166
qmof-e73fe5e.cif,100
qmof-060e1c4.cif,88
qmof-fbdd307.cif,128
qmof-d54da7b.cif,84
qmof-5098afc.cif,140
qmof-a39158b.cif,96
qmof-1eea8fc.cif,104
qmof-775dcac.cif,116
qmof-c213e54.cif,34
qmof-b788d3d.cif,134
qmof-5fe5f33.cif,144
qmof-2531f43.cif,322
qmof-913d114.cif,78
qmof-cb06477.cif,74
qmof-57ee22e.cif,66
qmof-77a3a1c.cif,64
qmof-1ca1cf3.cif,170
qmof-2827567.cif,58
qmof-ce64565.cif,158
qmof-00980e4.cif,75
qmof-513e1bb.cif,200
qmof-f85239d.cif,122
qmof-10f2b04.cif,46
qmof-20d2f37.cif,64
qmof-1ebe47b.cif,66
qmof-5e9a520.cif,90
qmof-0cc51b8.cif,64
qmof-1879cfe.cif,268
qmof-22767fa.cif,224
qmof-4b8c2e3.cif,86
qmof-3c501fe.cif,66
qmof-69ee5ab.cif,88
qmof-a3fad3b.cif,232
qmof-2001a62.cif,148
qmof-708b5df.cif,54
qmof-7947dc7.cif,178
qmof-94199a7.cif,64
qmof-ae58b33.cif,84
qmof-befef5a.cif,236
qmof-cb391ec.cif,52
qmof-248bc84.cif,156
qmof-41cd4ee.cif,98
qmof-b3a116c.cif,120
qmof-7894e7a.cif,104
qmof-739453e.cif,64
qmof-a87149e.cif,36
qmof-21e5b1b.cif,94
qmof-2369672.cif,77
qmof-dbc50ec.cif,118
qmof-10609b1.cif,58
qmof-fb21497.cif,188
qmof-b5a2c09.cif,52
qmof-afb0a94.cif,86
qmof-fc17802.cif,78
qmof-17ee812.cif,164
qmof-64828d7.cif,58
qmof-1e0cc1b.cif,234
qmof-9383360.cif,84
qmof-cd25778.cif,98
qmof-9a528f1.cif,230
qmof-677bee0.cif,120
qmof-afcfed2.cif,78
qmof-e78a509.cif,152
qmof-a297351.cif,84
qmof-317320a.cif,58
qmof-a9fb7e9.cif,80
qmof-369fa70.cif,76
qmof-af5679f.cif,67
qmof-6e5a0c5.cif,220
qmof-49e1de6.cif,228
qmof-3870e19.cif,220
qmof-d655f8d.cif,118
qmof-d3f640f.cif,168
qmof-c988586.cif,47
qmof-5944455.cif,172
qmof-f43bf7e.cif,32
qmof-566780e.cif,104
qmof-91cf2d0.cif,124
qmof-b711bf6.cif,112
qmof-7662f0b.cif,130
qmof-1360e97.cif,148
qmof-1a947f4.cif,132
qmof-fc93e58.cif,100
qmof-ba400b3.cif,80
qmof-28c043c.cif,50
qmof-f6d88fe.cif,102
qmof-6cce137.cif,70
qmof-d22ccb0.cif,148
qmof-eeac529.cif,32
qmof-3be3004.cif,123
qmof-15ff994.cif,50
qmof-123b551.cif,164
qmof-a933acc.cif,92
qmof-d9d77ef.cif,48
qmof-7301cfb.cif,142
qmof-0094362.cif,76
qmof-6ab86e7.cif,404
qmof-350f7da.cif,69
qmof-4f6760e.cif,140
qmof-9b0bbdf.cif,45
qmof-d7d4799.cif,77
qmof-50cc0b4.cif,96
qmof-5c2af2c.cif,72
qmof-0918da7.cif,74
qmof-5d8a76d.cif,150
qmof-b2272eb.cif,100
qmof-0164af1.cif,98
qmof-ea9c8c9.cif,84
qmof-d622bf2.cif,64
qmof-3fd032f.cif,132
qmof-d9f913d.cif,102
qmof-0b43927.cif,104
qmof-2bc6246.cif,280
qmof-08c77cc.cif,128
qmof-84f0656.cif,100
qmof-826ca3c.cif,123
qmof-b7bdebd.cif,116
qmof-8f2ae02.cif,33
qmof-0d1d4bd.cif,84
qmof-05dca7c.cif,96
qmof-eef0fa0.cif,53
qmof-574737f.cif,38
qmof-1ed370f.cif,210
qmof-5c28337.cif,69
qmof-ae328c6.cif,84
qmof-aa7ff00.cif,96
qmof-12c8a37.cif,304
qmof-e09709f.cif,68
qmof-93bad37.cif,196
qmof-ef64fbc.cif,108
qmof-ba37365.cif,108
qmof-1abb5dc.cif,138
qmof-be091d4.cif,84
qmof-9c14bbf.cif,130
qmof-1de625c.cif,140
qmof-adf0d46.cif,114
qmof-779ce9c.cif,96
qmof-320e8c9.cif,30
qmof-9702053.cif,80
qmof-e686033.cif,60
qmof-03558fb.cif,120
qmof-071a36b.cif,38
qmof-15463ec.cif,76
qmof-09ca76c.cif,53
qmof-fe2e2aa.cif,140
qmof-790523b.cif,82
qmof-3b20031.cif,100
qmof-dabdd9c.cif,116
qmof-ef8652c.cif,96
qmof-a2f200e.cif,88
qmof-08dfcd6.cif,274
qmof-fd35c17.cif,72
qmof-d7f84cc.cif,46
qmof-a4a3a03.cif,100
qmof-00744ff.cif,84
qmof-2e3bc32.cif,48
qmof-cb6d9e0.cif,32
qmof-9a46c91.cif,296
qmof-b52c6c5.cif,228
qmof-57f3005.cif,118
qmof-374d608.cif,80
qmof-67fdce2.cif,96
qmof-e84b289.cif,122
qmof-bc155dc.cif,34
qmof-75b017c.cif,138
qmof-d9772e5.cif,92
qmof-725832c.cif,378
qmof-44b1658.cif,108
qmof-1a54c0d.cif,70
qmof-00b7416.cif,132
qmof-1fcb8db.cif,134
qmof-11c1311.cif,192
qmof-52b81d3.cif,90
qmof-4943353.cif,248
qmof-2f075c1.cif,41
qmof-5a80a90.cif,176
qmof-b3e0651.cif,104
qmof-b4e92f2.cif,129
qmof-f689494.cif,128
qmof-447554f.cif,76
qmof-2cda290.cif,96
qmof-87eb0e6.cif,92
qmof-423f816.cif,68
qmof-5a099b5.cif,240
qmof-02cdf5a.cif,76
qmof-54054b2.cif,246
qmof-08c1883.cif,50
qmof-96226c0.cif,96
qmof-9446f9c.cif,128
qmof-4c3897e.cif,136
qmof-e635eb9.cif,190
qmof-48fe306.cif,192
qmof-721c324.cif,132
qmof-22a065a.cif,252
qmof-899ea4d.cif,118
qmof-d1216ba.cif,80
qmof-54e279c.cif,86
qmof-f8b577a.cif,36
qmof-f343390.cif,72
qmof-a4b48c8.cif,168
qmof-0600de4.cif,100
qmof-b9b2e89.cif,172
qmof-3bdfb25.cif,94
qmof-372bc82.cif,68
qmof-336171b.cif,128
qmof-df1934c.cif,192
qmof-7e45b51.cif,86
qmof-6f53f75.cif,106
qmof-55f4d83.cif,96
qmof-e8f2cbb.cif,204
qmof-8690aad.cif,150
qmof-7b06c57.cif,44
qmof-10c6410.cif,56
qmof-16b9ac8.cif,44
qmof-60da571.cif,93
qmof-88f6b3e.cif,57
qmof-2d72808.cif,52
qmof-dd788d7.cif,60
qmof-a79b912.cif,127
qmof-5791351.cif,73
qmof-db5580b.cif,70
qmof-111f17e.cif,140
qmof-79bb52e.cif,60
qmof-5e6affb.cif,37
qmof-408a8f3.cif,150
qmof-756ef2e.cif,50
qmof-3a9cbbf.cif,120
qmof-a7c5355.cif,80
qmof-3fcf6ee.cif,144
qmof-0103b7b.cif,110
qmof-7a71ba3.cif,136
qmof-386ffdd.cif,228
qmof-7e03401.cif,116
qmof-be35ab2.cif,71
qmof-c2377af.cif,52
qmof-8b89165.cif,110
qmof-93ccf76.cif,74
qmof-ee30d4a.cif,136
qmof-6ba5b5d.cif,39
qmof-7ee5feb.cif,156
qmof-36349d0.cif,234
qmof-7cd7343.cif,86
qmof-373fda4.cif,95
qmof-16de531.cif,60
qmof-cf2b93a.cif,58
qmof-c1af071.cif,86
qmof-bced2e6.cif,148
qmof-cc574ac.cif,72
qmof-4124b8d.cif,61
qmof-db32ee7.cif,80
qmof-529ff9f.cif,148
qmof-a077695.cif,84
qmof-4fba533.cif,98
qmof-0b835b0.cif,30
qmof-4e8726d.cif,76
qmof-25fb70b.cif,62
qmof-0454c23.cif,93
qmof-26ebc0e.cif,100
qmof-11afcfb.cif,62
qmof-4438bc6.cif,112
qmof-e9a4825.cif,72
qmof-71d1286.cif,68
qmof-e4ec22b.cif,132
qmof-c4b76e9.cif,96
qmof-30bdcd5.cif,70
qmof-e92571c.cif,144
qmof-9cc2146.cif,300
qmof-882e145.cif,272
qmof-2aef363.cif,68
qmof-171d834.cif,264
qmof-5c72d1f.cif,98
qmof-7ceb9a5.cif,100
qmof-01c6cc9.cif,124
qmof-6a1476a.cif,186
qmof-23b082a.cif,74
qmof-68bb3f2.cif,64
qmof-5f0b53c.cif,128
qmof-0cb4f49.cif,92
qmof-f418ca0.cif,58
qmof-ae43cc7.cif,102
qmof-b3c8596.cif,74
qmof-cd62d7d.cif,162
qmof-3fbfce0.cif,110
qmof-f0c9af4.cif,112
qmof-d192f59.cif,99
qmof-2ecd9eb.cif,238
qmof-a9b5598.cif,62
qmof-0836a64.cif,136
qmof-ddb2d23.cif,72
qmof-de86b8a.cif,126
qmof-b09c469.cif,86
qmof-d97f36e.cif,89
qmof-4b38c0b.cif,94
qmof-faed9c6.cif,90
qmof-229f5b9.cif,96
qmof-14924f8.cif,80
qmof-c96b0bd.cif,84
qmof-08021a9.cif,108
qmof-cd300b3.cif,320
qmof-f59c253.cif,54
qmof-7a605d8.cif,40
qmof-bdb5086.cif,88
qmof-68380f0.cif,100
qmof-a91889c.cif,312
qmof-bcf23d1.cif,25
qmof-7d4acd6.cif,56
qmof-3caf24b.cif,76
qmof-6905494.cif,148
qmof-2012542.cif,160
qmof-d7b34d4.cif,156
qmof-d079e7b.cif,86
qmof-b7cf313.cif,72
qmof-d246998.cif,132
qmof-7efb78c.cif,116
qmof-82f05d3.cif,126
qmof-13c6706.cif,84
qmof-b874271.cif,148
qmof-59f3c10.cif,78
qmof-c0cbada.cif,60
qmof-5d1aafb.cif,63
qmof-532e67d.cif,50
qmof-064c285.cif,26
qmof-e9531be.cif,136
qmof-769eeff.cif,55
qmof-6a1585c.cif,192
qmof-7caab1d.cif,80
qmof-7c7b7c4.cif,47
qmof-2408633.cif,98
qmof-6e2e191.cif,84
qmof-02a8243.cif,96
qmof-45ac749.cif,91
qmof-a560beb.cif,68
qmof-0f4c4fd.cif,288
qmof-c1bb21a.cif,171
qmof-9bd8c04.cif,96
qmof-7710534.cif,32
qmof-6ce0e9c.cif,228
qmof-8c04c0e.cif,76
qmof-389b9da.cif,32
qmof-158ec44.cif,64
qmof-ee6fe4f.cif,268
qmof-a0c3ef7.cif,408
qmof-6ae77da.cif,188
qmof-20020d6.cif,96
qmof-28e1e79.cif,72
qmof-5a1b056.cif,56
qmof-3759781.cif,64
qmof-1b64037.cif,90
qmof-7f02829.cif,45
qmof-1a4d0df.cif,180
qmof-94c1285.cif,140
qmof-8549a5b.cif,186
qmof-0644d90.cif,44
qmof-ead32c0.cif,60
qmof-938bfee.cif,124
qmof-15f7608.cif,130
qmof-2b88f57.cif,52
qmof-e2ef78a.cif,116
qmof-c1bc002.cif,68
qmof-025cbf2.cif,40
qmof-b73a1d3.cif,100
qmof-42ce45c.cif,60
qmof-c27ca26.cif,56
qmof-b28052c.cif,50
qmof-1e540dd.cif,80
qmof-2f4eb2a.cif,76
qmof-31bf571.cif,224
qmof-69adfc8.cif,94
qmof-555ceef.cif,162
qmof-75b0794.cif,52
qmof-5bcf1a0.cif,206
qmof-d867a6e.cif,118
qmof-6b33ff9.cif,120
qmof-6707d22.cif,38
qmof-9b79393.cif,64
qmof-ea0f641.cif,74
qmof-dc456e9.cif,54
qmof-606ca52.cif,112
qmof-1c5ef47.cif,56
qmof-7ef70ec.cif,88
qmof-6ee279e.cif,78
qmof-364ee4b.cif,140
qmof-2171eed.cif,104
qmof-c0a33f9.cif,90
qmof-38b3dd0.cif,90
qmof-d62afed.cif,46
qmof-0ca8ad2.cif,44
qmof-01e3d00.cif,83
qmof-9c4d48b.cif,80
qmof-ca84210.cif,236
qmof-248b9a0.cif,102
qmof-6bd9402.cif,84
qmof-be09118.cif,98
qmof-93aaf79.cif,77
qmof-f0067ee.cif,322
qmof-ebfa7c9.cif,274
qmof-e95be2c.cif,36
qmof-f4a8e6b.cif,148
qmof-fb82295.cif,64
qmof-920db9a.cif,52
qmof-cb5e0c8.cif,92
qmof-126dd4e.cif,48
qmof-55b32f8.cif,190
qmof-8cdca87.cif,83
qmof-fa6733c.cif,400
qmof-1ed0a7d.cif,26
qmof-bedb824.cif,104
qmof-fbe14b0.cif,210
qmof-ac1fa2d.cif,70
qmof-6581895.cif,102
qmof-12bec5a.cif,96
qmof-53f3394.cif,76
qmof-65f4686.cif,88
qmof-369e546.cif,62
qmof-d3a3906.cif,81
qmof-b0d8838.cif,44
qmof-d7aae20.cif,140
qmof-39aa242.cif,102
qmof-9dd4efa.cif,158
qmof-f3f8bc5.cif,86
qmof-eab8e84.cif,116
qmof-17eb28a.cif,184
qmof-47ef021.cif,70
qmof-6f41f72.cif,72
qmof-7a622fb.cif,90
qmof-263fad6.cif,118
qmof-2b9beae.cif,34
qmof-e2524bf.cif,128
qmof-7fa5043.cif,136
qmof-7b33e90.cif,138
qmof-ac695f9.cif,128
qmof-a353c59.cif,96
qmof-1b3859b.cif,161
qmof-a2d700a.cif,364
qmof-f513610.cif,96
qmof-2d5d814.cif,180
qmof-e5458b1.cif,26
qmof-eba2132.cif,42
qmof-6b4d8f7.cif,102
qmof-9f78012.cif,41
qmof-2cc770d.cif,44
qmof-893a85d.cif,60
qmof-a911d27.cif,126
qmof-d0264ec.cif,50
qmof-715f306.cif,60
qmof-696e454.cif,110
qmof-3669068.cif,188
qmof-0b7dc93.cif,186
qmof-d8a1caf.cif,82
qmof-9d80c83.cif,58
qmof-fc3bd04.cif,312
qmof-18e2d2f.cif,126
qmof-b78c40b.cif,76
qmof-495436a.cif,58
qmof-44e9836.cif,56
qmof-0344ec9.cif,82
qmof-1215008.cif,50
qmof-394c590.cif,132
qmof-78f6bfc.cif,29
qmof-b941ec6.cif,144
qmof-a1fb394.cif,276
qmof-10f4743.cif,133
qmof-3ad0212.cif,100
qmof-7cb1107.cif,248
qmof-f0fd7ea.cif,140
qmof-2f98139.cif,228
qmof-81231aa.cif,368
qmof-59cf43e.cif,96
qmof-be872f0.cif,116
qmof-166954d.cif,84
qmof-f3458d7.cif,34
qmof-6a4b14c.cif,54
qmof-0aad8d2.cif,110
qmof-29e411b.cif,140
qmof-6f3a9f6.cif,50
qmof-5d785bc.cif,128
qmof-bb912e7.cif,92
qmof-6d2f6ac.cif,120
qmof-dfceca3.cif,384
qmof-e7e8378.cif,82
qmof-0aed152.cif,84
qmof-229a18d.cif,90
qmof-89f83b7.cif,94
qmof-3fb0086.cif,192
qmof-548e234.cif,150
qmof-d0dfc27.cif,69
qmof-c9f9a46.cif,62
qmof-23640d7.cif,74
qmof-69e96ed.cif,92
qmof-94d8c54.cif,364
qmof-739a9ad.cif,108
qmof-646d39f.cif,108
qmof-e3e5ec8.cif,84
qmof-e4196d0.cif,224
qmof-a1a5849.cif,50
qmof-fc36310.cif,72
qmof-8f4644b.cif,34
qmof-d67cf85.cif,52
qmof-04009cb.cif,76
qmof-13595d5.cif,166
qmof-43de2f1.cif,31
qmof-1279fa4.cif,112
qmof-5da988a.cif,86
qmof-702ad28.cif,58
qmof-c54ce08.cif,140
qmof-46fd92a.cif,70
qmof-ac208a4.cif,174
qmof-8b975ac.cif,73
qmof-83480f0.cif,74
qmof-02fc147.cif,146
qmof-72594f7.cif,60
qmof-d77af39.cif,62
qmof-c4b25d6.cif,160
qmof-7acd702.cif,80
qmof-5927609.cif,192
qmof-cced18d.cif,284
qmof-5acd127.cif,284
qmof-9b48a99.cif,202
qmof-ac050b9.cif,75
qmof-0e3b79a.cif,96
qmof-bee6746.cif,80
qmof-27e4fe7.cif,140
qmof-dc3b732.cif,140
qmof-d57448c.cif,72
qmof-adecf31.cif,122
qmof-8cc38c9.cif,48
